address,mac,name,os_name,os_flavor,os_sp,purpose,info,comments
"10.1.139.10","","","Linux","","2.6.X","server","",""
"10.20.30.1","","","Linux","","3.X","server","",""
"10.20.30.3","","","Linux","","2.6.X","server","",""
"10.20.30.55","","","Linux","","3.X","server","",""
"10.20.30.57","","","Linux","","3.X","server","",""
"10.20.30.66","","","Linux","","3.X","server","",""
"10.20.30.111","","","Linux","","2.6.X","server","",""
"10.20.30.120","","","Linux","","2.6.X","server","",""
"10.20.30.121","","","Linux","","2.6.X","server","",""
"10.20.31.1","","","embedded","","","device","",""
"10.20.31.10","","","Linux","","2.6.X","server","",""
"10.20.31.21","","","ESXi","","5.X","device","",""
"10.20.31.22","","","ESXi","","5.X","device","",""
"10.20.31.53","","","ESXi","","5.X","device","",""
"10.20.31.71","","","Linux","","3.X","server","",""
"10.20.31.74","","","Linux","","2.6.X","server","",""
"10.20.31.75","","","Linux","","3.X","server","",""
"10.20.31.78","","","Linux","","2.6.X","server","",""
"10.100.101.3","","","Linux","","2.4.X","server","",""
"10.100.101.6","","","Windows Vista","","","client","",""
"10.100.101.18","","","Linux","","","server","",""
"10.100.101.31","","","Windows XP","","","client","",""
"10.100.101.55","","","Linux","","","server","",""
"10.100.101.60","","","Linux","","3.X","server","",""
"10.100.101.90","","","Windows 2003","","","server","",""
"10.100.101.99","","","Linux","","3.X","server","",""
"10.100.101.106","","","Linux","","3.X","server","",""
"10.100.101.118","","","Windows 2012","","","server","",""
"10.100.101.123","","","Linux","","3.X","server","",""
"10.100.101.124","","","Linux","","3.X","server","",""
"10.100.101.130","","","Linux","","3.X","server","",""
"10.100.101.144","","","Linux","","3.X","server","",""
"10.100.101.146","","","Linux","","3.X","server","",""
"10.100.101.175","","","Linux","","2.6.X","server","",""
"10.100.101.203","","","Linux","","2.4.X","server","",""
"10.100.101.228","","","Windows Vista","","","client","",""
"10.100.101.246","","","Windows Vista","","","client","",""
"10.100.103.2","","","Linux","","3.X","server","",""
"10.100.103.3","","","Linux","","2.4.X","server","",""
"10.100.103.6","","","Windows Vista","","","client","",""
"10.100.103.18","","","Linux","","","server","",""
"10.100.103.31","","","Windows XP","","","client","",""
"10.100.103.60","","","Linux","","3.X","server","",""
"10.100.103.72","","","Linux","","3.X","server","",""
"10.100.103.74","","","Unknown","","","device","",""
"10.100.103.90","","","Windows 2003","","","server","",""
"10.100.103.99","","","Linux","","3.X","server","",""
"10.100.103.106","","","Linux","","3.X","server","",""
"10.100.103.118","","","Windows 2012","","","server","",""
"10.100.103.123","","","Linux","","3.X","server","",""
"10.100.103.124","","","Linux","","3.X","server","",""
"10.100.103.130","","","Linux","","3.X","server","",""
"10.100.103.144","","","Windows XP","","","client","",""
"10.100.103.157","","","Linux","","2.6.X","server","",""
"10.100.103.168","","","FreeBSD","","9.X","device","",""
"10.100.103.175","","","Linux","","2.6.X","server","",""
"10.100.103.203","","","Linux","","2.4.X","server","",""
"10.100.103.228","","","Windows Vista","","","client","",""
"10.100.103.246","","","Windows Vista","","","client","",""
"10.100.104.2","","","Linux","","3.X","server","",""
"10.100.104.3","","","Linux","","2.4.X","server","",""
"10.100.104.6","","","Windows Vista","","","client","",""
"10.100.104.18","","","Linux","","2.6.X","server","",""
"10.100.104.31","","","Windows XP","","","client","",""
"10.100.104.60","","","Linux","","3.X","server","",""
"10.100.104.74","","","Unknown","","","device","",""
"10.100.104.90","","","Windows 2003","","","server","",""
"10.100.104.106","","","Linux","","3.X","server","",""
"10.100.104.123","","","Linux","","3.X","server","",""
"10.100.104.124","","","Linux","","3.X","server","",""
"10.100.104.130","","","Linux","","3.X","server","",""
"10.100.104.144","","","Windows XP","","","client","",""
"10.100.104.157","","","Linux","","2.6.X","server","",""
"10.100.104.168","","","FreeBSD","","9.X","device","",""
"10.100.104.175","","","Linux","","","server","",""
"10.100.104.246","","","Windows Vista","","","client","",""
"10.100.105.2","","","Linux","","3.X","server","",""
"10.100.105.3","","","Linux","","3.X","server","",""
"10.100.105.6","","","Windows Vista","","","client","",""
"10.100.105.18","","","Linux","","2.6.X","server","",""
"10.100.105.31","","","Windows XP","","","client","",""
"10.100.105.60","","","Linux","","3.X","server","",""
"10.100.105.72","","","Linux","","3.X","server","",""
"10.100.105.90","","","Windows 2003","","","server","",""
"10.100.105.99","","","Linux","","3.X","server","",""
"10.100.105.101","","","Linux","","3.X","server","",""
"10.100.105.118","","","Windows 2012","","","server","",""
"10.100.105.123","","","Linux","","3.X","server","",""
"10.100.105.124","","","Linux","","3.X","server","",""
"10.100.105.144","","","Windows XP","","","client","",""
"10.100.105.175","","","Linux","","2.6.X","server","",""
"10.100.105.192","","","Linux","","3.X","server","",""
"10.100.105.197","","","Linux","","3.X","server","",""
"10.100.105.203","","","Linux","","2.4.X","server","",""
"10.100.105.228","","","Windows Vista","","","client","",""
"10.100.105.246","","","Windows Vista","","","client","",""
"10.150.0.1","","","Linux","","2.6.X","server","",""
"10.150.0.254","","","Linux","","2.6.X","server","",""
"10.150.100.1","","","Linux","","2.6.X","server","",""
"10.150.100.50","","","Linux","","2.6.X","server","",""
"10.150.100.60","","","Linux","","2.6.X","server","",""
"10.150.100.70","","","Linux","","2.6.X","server","",""
"10.150.100.80","","","Linux","","3.X","server","",""
"10.150.100.81","","","Linux","","3.X","server","",""
"10.150.100.82","","","Linux","","3.X","server","",""
"10.150.100.83","","","Linux","","3.X","server","",""
"10.150.100.101","","","Linux","","3.X","server","",""
"10.150.100.150","","","Windows XP","","","client","",""
"10.150.100.151","","","Linux","","3.X","server","",""
"10.150.100.170","","","Linux","","3.X","server","",""
"10.150.100.190","","","Linux","","3.X","server","",""
"10.200.0.1","","","Linux","","2.6.X","server","",""
"10.200.0.254","","","Linux","","2.6.X","server","",""
"10.200.10.1","","","Linux","","3.X","server","",""
"10.200.10.200","","","Linux","","3.X","server","",""
"10.200.20.1","","","Linux","","3.X","server","",""
"10.200.30.1","","","Linux","","3.X","server","",""
"10.200.40.1","","","Linux","","3.X","server","",""
"10.200.50.1","","","Linux","","3.X","server","",""
"10.200.60.1","","","Linux","","3.X","server","",""
"10.200.70.1","","","Linux","","3.X","server","",""
"10.200.100.1","","","Linux","","2.6.X","server","",""
"10.200.100.2","","","Linux","","3.X","server","",""
"10.200.100.81","","","Linux","","3.X","server","",""
"10.200.100.90","","","Linux","","3.X","server","",""
"172.25.20.1","","","embedded","","3.X","device","",""
"172.25.20.21","","","Windows Vista","","","client","",""
"172.25.20.31","","","Linux","","3.X","server","",""
"172.25.20.44","","","Linux","","3.X","server","",""
"172.25.20.61","","","ESXi","","6.X","device","",""
"172.25.20.62","","","Linux","","3.X","server","",""
"172.25.20.63","","","ESXi","","6.X","device","",""
"172.25.20.64","","","ESXi","","6.X","device","",""
"172.25.20.65","","","ESXi","","6.X","device","",""
"172.25.20.70","","","ESXi","","6.X","device","",""
"172.25.20.71","","","ESXi","","6.X","device","",""
"172.25.20.75","","","Linux","","3.X","server","",""
"172.25.20.76","","","Linux","","3.X","server","",""
"172.25.20.77","","","Linux","","3.X","server","",""
"172.25.20.78","","","Linux","","3.X","server","",""
"172.25.20.80","","","ESXi","","6.X","device","",""
"172.25.20.81","","","ESXi","","6.X","device","",""
"172.25.20.100","","","Linux","","3.X","server","",""
"172.25.20.101","","","Linux","","3.X","server","",""
"172.25.20.102","","","embedded","","","device","",""
"172.25.20.103","","","embedded","","","device","",""
"172.25.20.110","","","Linux","","3.X","server","",""
"172.25.20.119","","","Linux","","3.X","server","",""
"172.25.20.183","","","Linux","","3.X","server","",""
"172.25.20.213","","","Linux","","3.X","server","",""
"172.25.20.254","","","embedded","","","device","",""
"192.168.101.148","","","Linux","","2.6.X","server","",""
"192.168.101.254","","","Linux","","2.6.X","server","",""
"192.168.103.148","","","Linux","","2.6.X","server","",""
"192.168.103.254","","","Linux","","2.6.X","server","",""
"192.168.104.148","","","Linux","","2.6.X","server","",""
"192.168.104.254","","","embedded","","","device","",""
"192.168.105.148","","","Linux","","2.6.X","server","",""
"192.168.105.254","","","Linux","","3.X","server","",""
